Match id,Team_1,Team_2,Format,Ground,Year,Toss,Selection,fi_score,fi_wickets,fi_4s,fi_6s,fi_extra,fi_run_rate,fi_avg_str_rate,fi_max_score,fi_max_indv_wickets,Player Of The Match,Result,si_score,si_wickets,si_4s,si_6s,si_extras,si_run_rate,si_avg_str_rate,si_max_indv_wickets,si_max_indv_wickets
57,Pakistan,India,ODI,Karachi,2008,Pakistan,Batting,299.0,4.0,33.0,1.0,7.0,5.98,123.3,125.0,2.0,Suresh Raina,India,301.0,4.0,25.0,12.0,15.0,7.13,85.13,119.0,1.0
58,Sri Lanka,UAE,ODI,Lahore,2008,Sri Lanka,Batting,290.0,9.0,22.0,0.0,19.0,5.8,80.53,67.0,5.0,Ajantha Mendis,Sri Lanka,148.0,10.0,16.0,0.0,9.0,4.05,42.01,77.0,3.0
59,Bangladesh,India,ODI,Karachi,2008,Bangladesh,Batting,283.0,6.0,27.0,6.0,14.0,5.66,71.07,115.0,2.0,Suresh Raina,India,284.0,3.0,25.0,6.0,18.0,6.55,86.45,116.0,2.0
60,Pakistan,Sri Lanka,ODI,Karachi,2008,Pakistan,Bowling,238.0,9.0,17.0,4.0,3.0,4.76,62.63,76.0,5.0,Kumar Sangakkara,Sri Lanka,302.0,7.0,26.0,4.0,23.0,6.04,93.22,112.0,4.0
61,Bangladesh,Sri Lanka,ODI,Karachi,2008,Sri Lanka,Batting,174.0,10.0,20.0,1.0,14.0,4.51,55.06,52.0,2.0,Sanath Jayasuriya,Sri Lanka,332.0,8.0,36.0,8.0,10.0,6.64,96.79,130.0,5.0
62,Pakistan,India,ODI,Karachi,2008,India,Batting,309.0,2.0,35.0,2.0,6.0,6.79,137.17,123.0,3.0,Younis Khan,Pakistan,308.0,7.0,26.0,3.0,13.0,6.16,89.22,76.0,1.0
63,India,Sri Lanka,ODI,Karachi,2008,Sri Lanka,Batting,310.0,4.0,30.0,3.0,21.0,6.61,103.26,68.0,2.0,MS Dhoni,India,308.0,8.0,30.0,3.0,15.0,6.16,107.2,75.0,2.0
64,Pakistan,Bangladesh,ODI,Karachi,2008,Bangladesh,Batting,116.0,0.0,14.0,2.0,8.0,5.89,91.59,56.0,3.0,Abdur Rauf,Pakistan,115.0,10.0,8.0,2.0,16.0,3.0,38.31,26.0,0.0
65,India,Sri Lanka,ODI,Karachi,2008,India,Bowling,173.0,10.0,23.0,0.0,3.0,4.37,50.41,60.0,3.0,Ajantha Mendis,Sri Lanka,273.0,10.0,21.0,5.0,9.0,5.47,82.77,125.0,6.0
66,Sri Lanka,Pakistan,ODI,Dambulla,2010,Sri Lanka,Batting,242.0,9.0,17.0,1.0,11.0,4.84,73.73,55.0,5.0,Shahid Afridi,Sri Lanka,226.0,10.0,12.0,7.0,15.0,4.8,48.35,109.0,3.0
67,Bangladesh,India,ODI,Dambulla,2010,Bangladesh,Batting,167.0,10.0,15.0,1.0,21.0,4.79,61.7,37.0,2.0,Gautam Gambhir,India,168.0,4.0,11.0,1.0,25.0,5.47,65.7,82.0,4.0
68,Sri Lanka,Bangladesh,ODI,Dambulla,2010,Sri Lanka,Batting,312.0,4.0,28.0,5.0,13.0,6.24,106.19,71.0,3.0,Tillakaratne Dilshan,Sri Lanka,186.0,10.0,17.0,1.0,18.0,4.61,56.09,51.0,2.0
69,India,Pakistan,ODI,Dambulla,2010,Pakistan,Batting,271.0,7.0,14.0,6.0,24.0,5.43,92.55,83.0,3.0,Gautam Gambhir,India,267.0,10.0,20.0,4.0,11.0,5.39,70.7,74.0,3.0
70,Bangladesh,Pakistan,ODI,Dambulla,2010,Pakistan,Batting,246.0,5.0,18.0,2.0,12.0,4.92,67.64,97.0,3.0,Shahid Afridi,Pakistan,385.0,7.0,41.0,10.0,11.0,7.7,129.98,124.0,1.0
71,Sri Lanka,India,ODI,Dambulla,2010,Sri Lanka,Bowling,211.0,3.0,25.0,2.0,16.0,5.62,90.14,73.0,5.0,Farveez Maharoof,Sri Lanka,209.0,10.0,23.0,1.0,6.0,4.91,45.94,69.0,2.0
72,Sri Lanka,India,ODI,Dambulla,2010,India,Batting,187.0,10.0,16.0,1.0,18.0,4.18,53.4,55.0,2.0,Dinesh Karthik,India,268.0,6.0,24.0,1.0,19.0,5.36,87.0,66.0,4.0
73,Bangladesh,Pakistan,ODI,Mirpur,2012,Bangladesh,Bowling,241.0,10.0,20.0,3.0,7.0,5.0,55.13,64.0,3.0,Mohammad Hafeez,Pakistan,262.0,8.0,21.0,2.0,8.0,5.24,95.87,89.0,3.0
74,India,Sri Lanka,ODI,Mirpur,2012,Sri Lanka,Bowling,304.0,3.0,24.0,2.0,14.0,6.08,111.94,108.0,4.0,Virat Kohli,India,254.0,10.0,20.0,5.0,8.0,5.62,73.82,78.0,2.0
75,Pakistan,Sri Lanka,ODI,Mirpur,2012,Sri Lanka,Batting,189.0,4.0,21.0,3.0,5.0,4.74,64.33,77.0,4.0,Aizaz Cheema,Pakistan,188.0,10.0,14.0,1.0,9.0,4.11,42.65,71.0,2.0
76,Bangladesh,India,ODI,Mirpur,2012,Bangladesh,Bowling,293.0,5.0,24.0,6.0,12.0,5.93,116.73,70.0,2.0,Shakib Al Hasan,Bangladesh,289.0,5.0,25.0,3.0,18.0,5.78,116.94,114.0,3.0
77,India,Pakistan,ODI,Mirpur,2012,Pakistan,Batting,330.0,4.0,34.0,4.0,11.0,6.89,152.32,183.0,2.0,Virat Kohli,India,329.0,6.0,27.0,2.0,15.0,6.58,86.28,112.0,2.0
78,Bangladesh,Sri Lanka,ODI,Mirpur,2012,Bangladesh,Bowling,212.0,5.0,23.0,0.0,20.0,5.7,72.18,59.0,3.0,Shakib Al Hasan,Sri Lanka,232.0,10.0,19.0,1.0,11.0,4.65,64.14,62.0,2.0
79,Bangladesh,Pakistan,ODI,Mirpur,2012,Bangladesh,Bowling,234.0,8.0,20.0,1.0,11.0,4.68,76.41,68.0,2.0,Shahid Afridi,Pakistan,236.0,9.0,19.0,3.0,18.0,4.72,74.75,46.0,3.0
80,Pakistan,Sri Lanka,ODI,Fatullah,2014,Sri Lanka,Batting,284.0,10.0,26.0,6.0,13.0,5.81,101.36,74.0,2.0,Lasith Malinga,Sri Lanka,296.0,6.0,29.0,2.0,18.0,5.92,86.84,102.0,5.0
81,Bangladesh,India,ODI,Fatullah,2014,India,Bowling,279.0,7.0,20.0,6.0,18.0,5.58,81.02,117.0,1.0,Virat Kohli,India,280.0,4.0,29.0,4.0,11.0,5.71,82.58,136.0,4.0
82,Afghanistan,Pakistan,ODI,Fatullah,2014,Afghanistan,Bowling,176.0,10.0,18.0,0.0,13.0,3.71,45.44,44.0,2.0,Umar Akmal,Pakistan,248.0,8.0,22.0,5.0,5.0,4.96,70.21,102.0,3.0
83,India,Sri Lanka,ODI,Fatullah,2014,Sri Lanka,Bowling,264.0,9.0,17.0,5.0,11.0,5.28,82.73,94.0,3.0,Kumar Sangakkara,Sri Lanka,265.0,8.0,25.0,4.0,8.0,5.37,85.75,103.0,4.0
84,Bangladesh,Afghanistan,ODI,Fatullah,2014,Bangladesh,Bowling,222.0,10.0,16.0,4.0,12.0,4.64,52.1,50.0,2.0,Samiullah Shinwari,Afghanistan,254.0,6.0,21.0,5.0,17.0,5.08,55.1,90.0,3.0
85,India,Pakistan,ODI,Mirpur,2014,Pakistan,Bowling,245.0,8.0,23.0,5.0,8.0,4.9,74.32,58.0,3.0,Mohammad Hafeez,Pakistan,249.0,9.0,16.0,8.0,17.0,5.01,68.36,75.0,3.0
86,Afghanistan,Sri Lanka,ODI,Mirpur,2014,Sri Lanka,Batting,124.0,10.0,11.0,2.0,9.0,3.2,38.46,37.0,2.0,Kumar Sangakkara,Sri Lanka,253.0,6.0,18.0,2.0,18.0,5.06,79.39,76.0,3.0
87,Bangladesh,Pakistan,ODI,Mirpur,2014,Bangladesh,Batting,326.0,3.0,31.0,8.0,21.0,6.52,138.5,100.0,2.0,Shahid Afridi,Pakistan,329.0,7.0,29.0,10.0,13.0,6.6,114.45,103.0,2.0
88,Afghanistan,India,ODI,Mirpur,2014,India,Bowling,159.0,10.0,16.0,2.0,14.0,3.5,45.2,50.0,1.0,Ravindra Jadeja,India,160.0,2.0,13.0,1.0,5.0,4.94,78.63,60.0,4.0
89,Bangladesh,Sri Lanka,ODI,Mirpur,2014,Bangladesh,Batting,204.0,9.0,14.0,1.0,17.0,4.08,49.51,49.0,2.0,Angelo Mathews,Sri Lanka,208.0,7.0,19.0,1.0,9.0,4.24,55.16,74.0,2.0
90,Pakistan,Sri Lanka,ODI,Mirpur,2014,Pakistan,Batting,260.0,5.0,21.0,5.0,6.0,5.2,86.61,114.0,3.0,Lasith Malinga,Sri Lanka,261.0,5.0,33.0,2.0,8.0,5.63,78.52,101.0,5.0
91,Bangladesh,India,T20I,Mirpur,2016,Bangladesh,Bowling,121.0,7.0,8.0,3.0,10.0,6.05,72.89,44.0,3.0,Rohit Sharma,India,166.0,6.0,15.0,5.0,7.0,8.3,146.48,83.0,3.0
92,Sri Lanka,UAE,T20I,Mirpur,2016,UAE,Bowling,129.0,8.0,14.0,1.0,5.0,6.45,87.84,50.0,4.0,Lasith Malinga,Sri Lanka,115.0,9.0,7.0,2.0,16.0,5.75,65.1,37.0,3.0
93,Bangladesh,UAE,T20I,Mirpur,2016,UAE,Bowling,133.0,8.0,8.0,5.0,5.0,6.65,64.8,47.0,2.0,Mahmudullah,Bangladesh,82.0,10.0,7.0,4.0,3.0,4.64,50.99,30.0,2.0
94,India,Pakistan,T20I,Mirpur,2016,India,Bowling,85.0,5.0,10.0,0.0,14.0,5.48,56.88,49.0,3.0,Virat Kohli,India,83.0,10.0,8.0,0.0,15.0,4.74,70.39,25.0,3.0
95,Bangladesh,Sri Lanka,T20I,Mirpur,2016,Bangladesh,Batting,147.0,7.0,15.0,4.0,4.0,7.35,68.71,80.0,3.0,Sabbir Rahman,Bangladesh,124.0,8.0,7.0,4.0,3.0,6.2,93.02,37.0,3.0
96,Pakistan,UAE,T20I,Mirpur,2016,UAE,Batting,131.0,3.0,12.0,6.0,3.0,7.01,92.45,63.0,2.0,Shoaib Malik,Pakistan,129.0,6.0,13.0,6.0,9.0,6.45,103.27,46.0,3.0
97,India,Sri Lanka,T20I,Mirpur,2016,India,Bowling,142.0,5.0,15.0,4.0,1.0,7.34,110.74,56.0,2.0,Virat Kohli,India,138.0,9.0,14.0,2.0,10.0,6.9,107.95,30.0,2.0
98,Bangladesh,Pakistan,T20I,Mirpur,2016,Pakistan,Batting,131.0,5.0,10.0,3.0,8.0,6.83,118.28,48.0,3.0,Soumya Sarkar,Bangladesh,129.0,7.0,12.0,4.0,0.0,6.45,68.11,58.0,2.0
99,India,UAE,T20I,Mirpur,2016,UAE,Batting,82.0,1.0,14.0,2.0,2.0,8.06,132.62,39.0,2.0,Rohit Sharma,India,81.0,9.0,6.0,1.0,7.0,4.05,34.28,43.0,1.0
100,Pakistan,Sri Lanka,T20I,Mirpur,2016,Pakistan,Bowling,151.0,4.0,18.0,3.0,7.0,7.81,120.67,48.0,2.0,Umar Akmal,Pakistan,150.0,4.0,17.0,2.0,7.0,7.5,80.93,75.0,1.0
101,Bangladesh,India,T20I,Mirpur,2016,India,Bowling,120.0,5.0,12.0,2.0,3.0,8.0,115.35,33.0,1.0,Shikhar Dhawan,India,122.0,2.0,15.0,3.0,0.0,8.81,159.03,60.0,1.0
102,Bangladesh,Sri Lanka,ODI,Dubai(DSC),2018,Bangladesh,Batting,261.0,10.0,19.0,6.0,12.0,5.27,47.61,144.0,2.0,Mushfiqur Rahim,Bangladesh,124.0,10.0,8.0,4.0,1.0,3.5,56.26,29.0,4.0
103,Hong Kong,Pakistan,ODI,Dubai(DSC),2018,Hong Kong,Batting,116.0,10.0,10.0,1.0,4.0,3.12,40.6,27.0,2.0,Usman Shinwari,Pakistan,120.0,2.0,9.0,3.0,4.0,5.07,83.7,50.0,3.0
104,Afghanistan,Sri Lanka,ODI,Abu Dhabi,2018,Afghanistan,Batting,249.0,10.0,19.0,3.0,9.0,4.98,106.37,72.0,2.0,Rahmat Shah,Afghanistan,158.0,10.0,10.0,1.0,13.0,3.82,43.2,36.0,5.0
105,Hong Kong,India,ODI,Dubai(DSC),2018,Hong Kong,Bowling,259.0,8.0,19.0,6.0,13.0,5.18,77.72,92.0,3.0,Shikhar Dhawan,India,285.0,7.0,25.0,5.0,5.0,5.7,67.08,127.0,3.0
106,India,Pakistan,ODI,Dubai(DSC),2018,Pakistan,Batting,164.0,2.0,17.0,5.0,4.0,5.65,92.42,52.0,3.0,Bhuvneshwar Kumar,India,162.0,10.0,10.0,2.0,7.0,3.75,45.54,47.0,1.0
107,Afghanistan,Bangladesh,ODI,Abu Dhabi,2018,Afghanistan,Batting,255.0,7.0,24.0,1.0,7.0,5.1,93.22,58.0,2.0,Rashid Khan,Afghanistan,119.0,10.0,5.0,0.0,5.0,2.82,34.44,32.0,4.0
108,Bangladesh,India,ODI,Dubai(DSC),2018,India,Bowling,173.0,10.0,11.0,4.0,3.0,3.51,56.81,42.0,1.0,Ravindra Jadeja,India,174.0,3.0,13.0,4.0,4.0,4.78,66.77,83.0,4.0
109,Afghanistan,Pakistan,ODI,Abu Dhabi,2018,Afghanistan,Batting,257.0,6.0,16.0,5.0,5.0,5.14,92.35,97.0,3.0,Shoaib Malik,Pakistan,258.0,7.0,13.0,6.0,17.0,5.21,92.88,80.0,3.0
110,India,Pakistan,ODI,Dubai(DSC),2018,Pakistan,Batting,238.0,1.0,24.0,6.0,1.0,6.02,91.31,114.0,2.0,Shikhar Dhawan,India,237.0,7.0,11.0,5.0,8.0,4.74,78.76,78.0,0.0
111,Afghanistan,Bangladesh,ODI,Abu Dhabi,2018,Bangladesh,Batting,246.0,7.0,20.0,3.0,8.0,4.92,76.19,71.0,3.0,Mahmudullah,Bangladesh,249.0,7.0,15.0,3.0,7.0,4.98,72.28,74.0,2.0
112,Afghanistan,India,ODI,Dubai(DSC),2018,Afghanistan,Batting,252.0,8.0,17.0,11.0,7.0,5.04,54.19,124.0,2.0,Mohammad Shahzad,India,252.0,10.0,17.0,5.0,9.0,5.05,71.67,60.0,3.0
113,Bangladesh,Pakistan,ODI,Abu Dhabi,2018,Bangladesh,Batting,239.0,10.0,17.0,1.0,9.0,4.89,73.23,99.0,4.0,Mushfiqur Rahim,Bangladesh,202.0,9.0,10.0,2.0,9.0,4.04,60.59,83.0,4.0
114,Bangladesh,India,ODI,Dubai(DSC),2018,India,Bowling,222.0,10.0,17.0,4.0,7.0,4.57,49.98,121.0,2.0,Litton Das,India,223.0,7.0,13.0,6.0,13.0,4.46,73.33,48.0,3.0
